app_id,sequence,label
benign116,xml android apache javax apache android self-defined java self-defined android java xml android android self-defined java java java self-defined android java android android google java java self-defined android java java android java self-defined obfuscated self-defined android android android java android google self-defined javax obfuscated android self-defined obfuscated self-defined java self-defined android java java obfuscated self-defined android android xml java javax self-defined android java google xml java self-defined android android self-defined java obfuscated java android xml java java self-defined self-defined java apache self-defined obfuscated obfuscated self-defined android android java xml java android google javax android java self-defined obfuscated java android xml java obfuscated android google self-defined android java java obfuscated android java android java self-defined obfuscated java android android java self-defined obfuscated obfuscated self-defined java android java javax xml apache self-defined android java android xml apache xml self-defined android java self-defined android java android java android xml java xml android java android self-defined java google obfuscated,0
benign058,java java android java self-defined obfuscated java self-defined obfuscated java android self-defined obfuscated obfuscated google android xml self-defined android java self-defined java android java self-defined obfuscated android self-defined xml java self-defined android java self-defined obfuscated obfuscated self-defined android java android google obfuscated obfuscated self-defined android java java self-defined self-defined java android java android google android self-defined google java self-defined java java android xml java xml java android apache java javax java android android google android java android google android self-defined self-defined android java obfuscated obfuscated obfuscated obfuscated android self-defined android self-defined java java javax android self-defined java self-defined android java java android xml java self-defined google javax xml java android java self-defined obfuscated obfuscated android google self-defined self-defined obfuscated android self-defined java java javax java android java java self-defined obfuscated java javax java android android self-defined android java xml android android self-defined java self-defined android javax android android self-defined android xml google java android xml java,0
malware022,java android java javax java android self-defined android java android google self-defined java android android obfuscated java android java android google java android xml java self-defined obfuscated obfuscated obfuscated java android self-defined android android xml java javax java android xml java xml android self-defined google android java java android java self-defined android java self-defined obfuscated google java java android android java android google java android java android google xml java android java self-defined obfuscated android java android android google self-defined self-defined java android android google java android xml java android xml java xml android google java android android android self-defined java javax apache self-defined java android xml java xml java android xml android google google self-defined xml java java xml apache android java android google android java android android java google java,1
malware212,self-defined android java android google java android xml java android java self-defined android java xml apache self-defined android java android self-defined self-defined java java xml java javax android xml google android xml java google java self-defined javax android java android google java android xml java android java javax xml java xml apache self-defined google android google android android android self-defined android java javax android google self-defined android android android java self-defined obfuscated java android self-defined android google java android self-defined java java self-defined android java java javax xml android android self-defined google java xml apache self-defined obfuscated obfuscated android google,1
benign166,java self-defined self-defined android java javax android self-defined google android android java android xml java java javax xml apache android xml java android java android google android android java self-defined obfuscated obfuscated apache self-defined self-defined android java javax android self-defined android self-defined java java obfuscated java javax android android java self-defined obfuscated self-defined java javax android obfuscated self-defined javax java google self-defined self-defined xml apache google java xml android java android google java java android self-defined google android self-defined google self-defined android google self-defined apache self-defined java xml java xml javax xml java android java javax xml android java android android android java android google java xml,0
malware235,self-defined obfuscated self-defined android java xml android java self-defined obfuscated self-defined obfuscated obfuscated android google java google android android java android google self-defined android java javax obfuscated self-defined android self-defined android java android google apache java android xml java javax xml self-defined android java self-defined obfuscated self-defined java android google java android google android self-defined android java self-defined android apache xml android self-defined android self-defined java android xml java xml google java java android java self-defined android xml,1
malware086,self-defined self-defined android android android android android android java self-defined obfuscated self-defined javax android java android google self-defined google android google android java android xml java xml android android java android google java android android java java android xml obfuscated android java self-defined obfuscated android self-defined self-defined self-defined android java android java self-defined obfuscated obfuscated android android apache xml java xml java apache java apache android java android google android google self-defined android java android java google apache xml android java self-defined android google android google java android android java self-defined android google android xml apache java self-defined java java java xml android android self-defined java xml apache java xml java java self-defined obfuscated android google android android java android google java xml self-defined java java java android,1
malware112,xml apache obfuscated self-defined android android android java self-defined obfuscated java javax self-defined android java android google self-defined self-defined android android xml java obfuscated java android android xml android java android self-defined android google java android android google java android android android android google xml xml java xml android google apache xml android android google javax java java android google self-defined self-defined java android xml self-defined android java java android google java android android self-defined java android android android self-defined google java android xml java android java android google android xml android java android google android java android,1
benign154,xml apache xml android android java javax android xml apache android xml android self-defined java javax java android xml java java android android self-defined self-defined apache android java self-defined obfuscated self-defined google android java self-defined obfuscated android self-defined java javax android self-defined java android self-defined java android google self-defined self-defined android java self-defined android self-defined java xml google java java android self-defined android java android self-defined java java self-defined google android java self-defined obfuscated obfuscated obfuscated obfuscated self-defined android java xml android android xml android android self-defined android java java self-defined android java android self-defined android android google,0
benign093,java java xml apache self-defined android self-defined self-defined self-defined android xml self-defined android java self-defined android java android java self-defined obfuscated xml java self-defined android google android self-defined java self-defined google xml java self-defined obfuscated obfuscated self-defined java java self-defined android java android java self-defined obfuscated self-defined apache xml java android obfuscated self-defined google java android java self-defined android android xml java xml java android self-defined java self-defined android java java xml apache java java javax self-defined android java google self-defined google android xml android xml android self-defined android android java android,0
malware165,self-defined self-defined android google android android google java android android obfuscated android android google java android google java android android android self-defined android xml android obfuscated obfuscated android self-defined obfuscated obfuscated self-defined javax java xml java xml java android xml java java android xml java xml android xml java android xml java android android java xml self-defined google android xml android obfuscated self-defined android java java xml android xml java android google java android xml apache self-defined google self-defined java android self-defined self-defined obfuscated java javax xml apache xml java android self-defined apache google,1
benign174,android xml obfuscated self-defined android google android xml apache java android xml java java javax android self-defined self-defined self-defined java self-defined java java android self-defined obfuscated javax xml android self-defined java self-defined android android java android java self-defined obfuscated self-defined self-defined android java javax java self-defined obfuscated obfuscated obfuscated java xml android android google android android android google java java self-defined google obfuscated android google java java android xml java java self-defined google self-defined self-defined google java android xml java android self-defined obfuscated google android self-defined google self-defined obfuscated self-defined android java android android android self-defined google xml apache java google java android xml java java java java android self-defined java self-defined android google java javax xml google android google self-defined android android self-defined android java android google,0
malware039,apache java java xml java android java self-defined apache xml java self-defined self-defined android javax android google android android java android google java android self-defined google java javax android self-defined self-defined obfuscated apache java android self-defined java xml java android self-defined apache java xml android javax java javax android google java android java self-defined obfuscated self-defined android self-defined java obfuscated java android self-defined self-defined self-defined java self-defined java java android xml java java java google android android java android google xml java xml android android android xml apache java javax java xml java android java android google java obfuscated obfuscated self-defined xml android java android google android android java self-defined obfuscated java android self-defined android google android java self-defined obfuscated google java self-defined java android self-defined google android java javax xml android self-defined self-defined,1
malware142,javax android java android google android google self-defined google java xml java xml apache java android google java android java android self-defined java self-defined google java android self-defined android java android google java xml java self-defined google android apache android java self-defined obfuscated java xml obfuscated self-defined self-defined java google obfuscated android android java self-defined obfuscated obfuscated android google java android xml apache self-defined self-defined obfuscated self-defined java android self-defined java android google android google java android obfuscated obfuscated java android self-defined google javax xml java javax xml apache java android java obfuscated obfuscated self-defined obfuscated self-defined java self-defined self-defined android self-defined android self-defined android java android self-defined xml java android self-defined obfuscated obfuscated self-defined self-defined self-defined javax android google java android javax android java java android android java android google android,1
malware233,android google java xml android javax java android java java java android java self-defined obfuscated java java android java javax android android java android xml java android self-defined google self-defined obfuscated java android android self-defined obfuscated obfuscated self-defined google android google java android java android xml java javax android xml android google android java android google java self-defined java java javax xml apache android android self-defined android google xml java javax android java self-defined obfuscated android self-defined google java android android java android google self-defined android apache self-defined java javax java android self-defined android java self-defined obfuscated obfuscated java self-defined google self-defined,1
benign225,java self-defined android java android java javax java javax android java self-defined java javax xml android android self-defined javax self-defined android java self-defined android android java android google android xml javax java android self-defined java android xml android self-defined java java android xml java android java android xml java android android android self-defined java self-defined android java android java javax xml apache android android xml java android java android google google android,0
malware115,java java java android java android google apache android self-defined android android google java android java android self-defined self-defined android xml java java android self-defined android android java android google java self-defined android android google java xml apache android google java android xml java xml android xml java android self-defined android obfuscated android xml self-defined javax java java android android java xml android google java,0
malware093,apache android google java android apache xml android android google android java java android android android apache android android obfuscated obfuscated android javax android self-defined apache xml android android android java android google obfuscated java self-defined java apache java android xml java self-defined android apache xml android android java self-defined obfuscated google self-defined android google java android self-defined android java self-defined obfuscated android java java xml java android java self-defined obfuscated android java android google android apache self-defined self-defined android java google self-defined android java android xml java self-defined android java android xml android java android self-defined self-defined java android java self-defined obfuscated java android xml self-defined android java java android xml android apache java java android java self-defined obfuscated java android xml java java javax java xml java javax xml xml self-defined android java,1
malware179,android android java android xml java javax google obfuscated self-defined android java java self-defined java java android java self-defined obfuscated xml obfuscated obfuscated self-defined self-defined java android google java android xml android java android java self-defined android java android google java android android java self-defined obfuscated java,1
malware248,self-defined obfuscated java android java java javax java obfuscated self-defined android java self-defined obfuscated java obfuscated javax java self-defined obfuscated obfuscated self-defined google self-defined android google android google java java android xml java self-defined java self-defined obfuscated self-defined android java android google java android xml java google android google java self-defined java android android android self-defined android self-defined obfuscated android xml java android xml self-defined self-defined self-defined obfuscated self-defined obfuscated obfuscated android java android google java android xml java android java self-defined obfuscated javax xml apache java obfuscated android google android self-defined self-defined android java google java android self-defined android self-defined google self-defined android java android xml java android,1
benign018,self-defined self-defined android java android android google java android xml java xml android java xml java android java android android android self-defined self-defined android java javax android self-defined java self-defined android java self-defined android java obfuscated android java android google android java self-defined obfuscated obfuscated javax self-defined android self-defined java self-defined java android xml java javax android java self-defined obfuscated,0
malware043,javax android self-defined obfuscated self-defined java android xml java self-defined android java javax android xml android self-defined self-defined android java self-defined google self-defined android java self-defined obfuscated obfuscated java android android google self-defined self-defined android google java android google self-defined obfuscated self-defined self-defined android java self-defined obfuscated obfuscated java android google java android xml java self-defined obfuscated self-defined obfuscated android self-defined self-defined,1
malware013,apache xml self-defined self-defined obfuscated java java android javax android java android google self-defined android java self-defined obfuscated java android xml java android java java android xml java self-defined google self-defined android java xml android obfuscated xml android java android self-defined self-defined java android xml java javax google android java android xml java android self-defined obfuscated android xml java android java android google java android apache java javax obfuscated obfuscated java android xml java android self-defined self-defined android java android android,1
benign250,android self-defined android java android java android google self-defined android java obfuscated android google android google android android java android google xml android xml java java self-defined obfuscated android android java self-defined obfuscated android google self-defined java self-defined android java android self-defined java google java apache java xml javax java xml self-defined obfuscated self-defined obfuscated google self-defined android java self-defined java android java android google android google android android self-defined google android java self-defined obfuscated android android java apache xml android javax android android xml android android google android android java self-defined obfuscated self-defined android java self-defined android java android self-defined java android google self-defined google android self-defined android self-defined java android google xml android xml apache self-defined android self-defined java android java self-defined obfuscated self-defined self-defined google java java javax android xml javax java android self-defined self-defined java xml android java android google,0
malware204,self-defined java self-defined java android xml java xml android java self-defined obfuscated android android java android self-defined android java android google self-defined android self-defined android android android java self-defined obfuscated java android java self-defined obfuscated android self-defined android java android google android google android google self-defined obfuscated obfuscated obfuscated self-defined java android xml java java self-defined android java java android xml google java javax android self-defined android google java android android java android self-defined self-defined self-defined android google android java android google javax xml android google self-defined android java android java self-defined obfuscated google java android self-defined obfuscated self-defined android google android self-defined android android java android self-defined xml android xml android android android google java java xml java android google java android android java android google java android android xml android android google java android android android java android google android google java android,1
benign131,google self-defined self-defined android java xml self-defined self-defined android java obfuscated android android java android google android self-defined self-defined android java self-defined obfuscated java java xml google android android google google self-defined android java self-defined android java self-defined android self-defined obfuscated android google java android self-defined self-defined android java xml java obfuscated java android xml java java android google self-defined google java java obfuscated self-defined android java java javax java apache android android android,0
malware030,java java android android java self-defined obfuscated android java self-defined obfuscated java android android google java android android java android google self-defined android java javax java java obfuscated android java self-defined obfuscated obfuscated java apache android java self-defined obfuscated javax java android java android java self-defined obfuscated self-defined android javax android java xml apache self-defined java java android xml java java java javax xml xml android obfuscated self-defined self-defined google android android java google android google java android self-defined obfuscated self-defined android google java android google java android android obfuscated java java android xml apache java xml android google java android self-defined android android,1
malware178,android google xml java java android xml android java android google self-defined android android java self-defined obfuscated android android google java android google self-defined obfuscated obfuscated obfuscated android java google android self-defined java android self-defined google self-defined android java android google java android android google self-defined google google android google java android android self-defined android java xml apache java java self-defined android apache obfuscated java android xml java java xml java java android xml self-defined android java android java android google android self-defined android java java self-defined self-defined obfuscated obfuscated java android google java self-defined android java java android self-defined self-defined obfuscated android android google java android java android xml java java android google java android apache java xml java,1
benign113,apache android java android google java self-defined obfuscated java xml google java java android android google java android google java self-defined google android self-defined java java java xml apache self-defined android google self-defined android self-defined obfuscated obfuscated android android java android google android google xml apache xml apache apache android java self-defined obfuscated self-defined android self-defined apache java java android xml java java self-defined android self-defined java xml apache javax xml android java self-defined android self-defined java xml android google android xml android self-defined java self-defined self-defined android java android google apache android java self-defined obfuscated obfuscated android java self-defined obfuscated self-defined self-defined java android android xml java android xml java self-defined android java java javax android android xml google xml java android self-defined android java xml self-defined obfuscated java xml google java android android java xml android java android google android self-defined android self-defined google android android android java self-defined obfuscated self-defined google android android,0
benign006,obfuscated android java android google android google android java android xml self-defined android java android java android self-defined google android xml apache java xml apache self-defined self-defined self-defined google self-defined obfuscated self-defined android java javax self-defined android java google android android java java obfuscated obfuscated self-defined google self-defined self-defined android java self-defined obfuscated obfuscated self-defined java android xml java self-defined java apache android java self-defined obfuscated self-defined android java java self-defined android java javax xml java android xml android apache android android java self-defined obfuscated javax,0
benign228,android xml java java java android android android self-defined android java obfuscated android java xml android google android self-defined apache self-defined obfuscated android self-defined google android obfuscated android java android google self-defined android java self-defined android google self-defined android java android java android google android java self-defined obfuscated android java android google self-defined java android java android google android javax self-defined android java self-defined android java google google apache android google self-defined android java self-defined java javax java javax,0
benign063,java java android xml android android self-defined java obfuscated android self-defined java javax xml google java android xml java obfuscated obfuscated android java android google self-defined google self-defined android java javax java self-defined google google java xml java android android google android google java self-defined android android google android android google java android self-defined java java javax xml java xml android java self-defined android java android self-defined android java self-defined obfuscated obfuscated self-defined google android self-defined java self-defined android java xml java android xml java xml android java self-defined obfuscated obfuscated android self-defined android java google android java android google android android xml java java java android xml java android android self-defined java self-defined android java xml self-defined android java java self-defined google javax obfuscated obfuscated xml android xml apache google,0
benign150,java javax java xml java java javax android obfuscated java self-defined android android java self-defined obfuscated self-defined android java self-defined javax xml android xml self-defined android java java xml apache xml java obfuscated java android xml java java android java android google self-defined google xml java android self-defined android java android java android google self-defined self-defined android java xml android java javax self-defined android java self-defined java android xml java java xml javax java javax apache xml java javax java google android java java android xml java java self-defined java android xml apache self-defined android java android java self-defined obfuscated self-defined self-defined self-defined android java android android javax java self-defined android android java android google android xml android java self-defined java android xml android java android java self-defined obfuscated android android android android android self-defined java self-defined self-defined obfuscated self-defined obfuscated android java android google android google java xml apache android self-defined,0
benign010,java java javax android android java android google android xml apache android java android google self-defined java self-defined self-defined obfuscated android google apache self-defined android self-defined java android xml apache java android xml java android java javax android android google java xml java java android self-defined android google self-defined android xml apache android google self-defined self-defined android java android xml java self-defined self-defined android java javax android google java self-defined android java java obfuscated android java self-defined obfuscated obfuscated java android xml java android obfuscated,0
malware200,google self-defined google android google java android self-defined google java java java android java self-defined obfuscated java self-defined java java xml java android java apache android java android self-defined apache self-defined self-defined java android xml java android java java android xml java android xml java android java android google android android apache self-defined android java self-defined obfuscated android android java self-defined obfuscated self-defined android java android xml android java android self-defined google android java self-defined self-defined java java android xml java xml android self-defined android google self-defined android java xml apache android java java self-defined java javax xml apache xml android java android self-defined java java,1
benign105,xml apache google google android android android self-defined google self-defined android xml android javax java java android java android google java xml apache xml android self-defined android java android google google self-defined android java xml self-defined obfuscated java obfuscated android java self-defined obfuscated android self-defined java java java android obfuscated java java xml self-defined android java java javax xml xml java android self-defined android java self-defined android self-defined java javax xml self-defined obfuscated java android xml java google android android google android android java self-defined java obfuscated java android xml java self-defined java java javax java self-defined obfuscated obfuscated obfuscated obfuscated obfuscated self-defined javax self-defined android java javax java javax self-defined android java javax self-defined android java self-defined java java xml android android android google java android java google self-defined android java java self-defined android java java java android xml java javax self-defined android java javax xml android javax xml android self-defined,0
malware158,android xml self-defined java javax javax android self-defined android self-defined android java java java android xml java android google java android xml apache xml java android xml java java javax android xml apache apache android self-defined android android java android java android self-defined google self-defined obfuscated java self-defined android javax java self-defined android obfuscated android java self-defined obfuscated google android java android google self-defined self-defined self-defined java android self-defined google java java javax java self-defined java obfuscated android obfuscated self-defined android java xml self-defined android java apache android java self-defined obfuscated android xml android google java android apache self-defined java xml java self-defined java apache,1
benign245,android java android google self-defined self-defined self-defined android android self-defined java java android xml obfuscated android java android google android java self-defined obfuscated obfuscated self-defined google android self-defined self-defined android java self-defined android java java javax java javax java xml javax self-defined android java self-defined google java self-defined self-defined java android xml,0
malware177,self-defined java java java self-defined self-defined self-defined java android self-defined android java self-defined obfuscated java android xml java apache android java android java self-defined google android android java self-defined obfuscated java javax google self-defined android java xml google android self-defined google android java java android self-defined google self-defined java android xml java android apache google java android java android google java android self-defined obfuscated android android obfuscated android apache android java,1
benign176,xml java javax java android xml java xml google android google google java android xml java android android android java android google android self-defined java java java android java self-defined obfuscated android android google java android java javax java java android xml java java javax java self-defined self-defined java javax android android self-defined android android android self-defined self-defined android javax java java android xml java java android google apache self-defined android java android java android google android google java javax android xml android javax java xml java javax java xml android android google android java xml android java android xml java xml java javax xml android self-defined google android java xml android android java self-defined obfuscated java java android java javax xml apache xml android javax java android google java,0
malware009,google java android xml java self-defined self-defined android java obfuscated self-defined android java java self-defined javax apache xml android google java android self-defined self-defined google android android java java android xml java android java android self-defined obfuscated google java javax xml java android self-defined java android self-defined self-defined google android java javax android java android,1
benign230,java javax android self-defined java java java android xml java javax self-defined android java javax java apache self-defined android java android google java java android xml java java java self-defined java apache android google android self-defined self-defined android java xml java xml apache java xml java java android java android xml java android google google self-defined android java apache java android google javax java java android google android android java self-defined obfuscated obfuscated android,0
benign249,apache xml apache self-defined java android self-defined android java java android xml java android self-defined java android google android java android self-defined java java self-defined google java android android xml apache android java android google java android java self-defined obfuscated obfuscated android self-defined java android xml android android self-defined java self-defined android java android xml java self-defined android self-defined android java android java self-defined obfuscated java apache self-defined self-defined java android java android google android java self-defined obfuscated self-defined android google self-defined obfuscated obfuscated self-defined android,0
benign243,java xml java javax xml obfuscated java self-defined google java javax java javax xml android apache self-defined self-defined self-defined java google java xml android java android google obfuscated self-defined android android self-defined self-defined android java self-defined android java self-defined android java android android android android java android google self-defined android self-defined java self-defined obfuscated android self-defined android java android self-defined java android java javax obfuscated java xml apache java google java javax java android java android google java xml self-defined android java java javax java java java java android xml java java self-defined java javax java self-defined android xml xml apache xml self-defined android java xml android self-defined java self-defined android android java android,0
